run_name,闭合状态,Excel位置,本地metrics路径,建议处理,缺失解释分类,替代run线索
qwen05_vul_type_qlora_r32_e3_lr1e5_stable,双向闭合,全部结果指标!R232; type指标!R72,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\qwen05_vul_type_qlora_r32_e3_lr1e5_stable\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
qwen05_vul_type_qlora_r32_e3_lr2e5,双向闭合,全部结果指标!R233; type指标!R73,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\qwen05_vul_type_qlora_r32_e3_lr2e5\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
smoke_balanced721_qwen05_direct__has_vul__direct,双向闭合,全部结果指标!R160; has指标!R55,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_balanced721_qwen05_direct__has_vul__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__direct\metrics.json,可作为闭合结果,,
smoke_balanced721_qwen05_direct__vul_line__direct,Excel有-本地镜像缺失,全部结果指标!R184,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,有同模型/同任务/同方法替代run,"matrix_balanced721_qwen05_e1__vul_line__direct, matrix_large_qwen05_inst_vline__vul_line__direct, matrix_large_qwen05_inst_vline_clean__vul_line__direct, matrix_large_qwen05_inst_vline_clean_bounded__vul_line__direct, matrix_large_qwen05_inst_vline_line_rank_direct_prompt_top120__vul_line__direct, smoke_balanced721_qwen05_vline_direct30__vul_line__direct"
smoke_balanced721_qwen05_direct__vul_type__direct,双向闭合,全部结果指标!R213; type指标!R53,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_balanced721_qwen05_direct__vul_type__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__direct\metrics.json,可作为闭合结果,,
smoke_balanced721_qwen05_vline_direct30__vul_line__direct,双向闭合,全部结果指标!R185; line指标!R51,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_balanced721_qwen05_vline_direct30__vul_line__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
smoke_hasv_direct_qwen05,双向闭合,全部结果指标!R175; has指标!R70,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_hasv_direct_qwen05\Qwen_Qwen2.5-Coder-0.5B\has_vul__direct\metrics.json,可作为闭合结果,,
smoke_hasv_prompt_qwen05_instruct,双向闭合,全部结果指标!R178; has指标!R73,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_hasv_prompt_qwen05_instruct\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
smoke_hasv_prompt_qwen05_instruct_prefix,双向闭合,全部结果指标!R176; has指标!R71,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_hasv_prompt_qwen05_instruct_prefix\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
smoke_hasv_prompt_qwen05_instruct_truncfix,双向闭合,全部结果指标!R177; has指标!R72,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_hasv_prompt_qwen05_instruct_truncfix\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
smoke_vline_line_rank_direct_prompt__vul_line__direct,双向闭合,全部结果指标!R186; line指标!R52,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_line_rank_direct_prompt__vul_line__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
smoke_vline_line_rank_direct_prompt__vul_line__prompt,双向闭合,全部结果指标!R198; line指标!R64,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_line_rank_direct_prompt__vul_line__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
smoke_vline_line_rank_qlora,双向闭合,全部结果指标!R206; line指标!R72,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_line_rank_qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
smoke_vline_prompt_qwen05,双向闭合,全部结果指标!R209; line指标!R75,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_prompt_qwen05\Qwen_Qwen2.5-Coder-0.5B\vul_line__prompt\metrics.json,可作为闭合结果,,
smoke_vline_prompt_qwen05_instruct,双向闭合,全部结果指标!R207; line指标!R73,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_prompt_qwen05_instruct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
smoke_vline_prompt_qwen05_tagged,双向闭合,全部结果指标!R208; line指标!R74,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_prompt_qwen05_tagged\Qwen_Qwen2.5-Coder-0.5B\vul_line__prompt\metrics.json,可作为闭合结果,,
smoke_vline_prompt_qwen15_instruct,双向闭合,全部结果指标!R243; line指标!R81,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_prompt_qwen15_instruct\Qwen_Qwen2.5-Coder-1.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
smoke_vline_qlora_qwen05,双向闭合,全部结果指标!R210; line指标!R76,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vline_qlora_qwen05\Qwen_Qwen2.5-Coder-0.5B\vul_line__finetune\metrics.json,可作为闭合结果,,
smoke_vtype_prompt_qwen05_instruct_prefix,双向闭合,全部结果指标!R234; type指标!R74,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\smoke_vtype_prompt_qwen05_instruct_prefix\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__prompt\metrics.json,可作为闭合结果,,
westd_codellama34b_e1_vul_line_prompt__vul_line__prompt,双向闭合,应跑缺口明细!R213; 全部结果指标!R46; line指标!R16,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\D_westd_rtxpro6000x1\experiments\runs\westd_codellama34b_e1_vul_line_prompt__vul_line__prompt\vul_line__prompt\metrics.json,可作为闭合结果,,
westd_codellama7b_e1_vul_line_qlora_from_b__vul_line__qlora,Excel有-本地镜像缺失,应跑缺口明细!R196; 全部结果指标!R58,,历史记录/镜像缺失；若正文引用，需重新定位或补拉结果,表内历史记录或镜像缺失，需按正文是否引用决定是否补拉,
